id,title,presenters,primary_authors,co_authors,collaboration,mini_abstract,poster_link,video_link,all_links,abstract,track,category,abstract_url,poster_session
4,MeV-Scale Physics in MicroBooNE,Avinay Bhat,Avinay Bhat,,MicroBooNE,A novel reconstruction method for MeV-scale energy signatures in the MicroBooNE detector.,https://indico.fnal.gov/event/19348/contributions/186356/attachments/130011/158047/avinay_neutrino_poster.pdf,https://indico.fnal.gov/event/19348/contributions/186356/attachments/130011/158045/avinay_poster_video.mp4,"https://indico.fnal.gov/event/19348/contributions/186356/attachments/130011/158047/avinay_neutrino_poster.pdf,https://indico.fnal.gov/event/19348/contributions/186356/attachments/130011/158045/avinay_poster_video.mp4",null,null,null,https://indico.fnal.gov/event/19348/contributions/186356/contribution.pdf,1
5,Neutrino masses and mixing angles in a model with six Higgs triplets and $A_4$ symmetry,ITISHREE SETHI,"ITISHREE SETHI,Raghavendra Srikanth Hundi",,,How neutrino masses and mixing can be governed by six Higgs triplets and $A_4$ symmetry,https://indico.fnal.gov/event/19348/contributions/186673/attachments/129469/157066/neutrino2020.pdf,https://indico.fnal.gov/event/19348/contributions/186673/attachments/129469/157067/neutrino-2020.mp4,"https://indico.fnal.gov/event/19348/contributions/186673/attachments/129469/157067/neutrino-2020.mp4,https://indico.fnal.gov/event/19348/contributions/186673/attachments/129469/157066/neutrino2020.pdf",null,null,null,https://indico.fnal.gov/event/19348/contributions/186673/contribution.pdf,2
6,The European Spallation Source neutrino Super Beam project,Toshihiko Ota,Toshihiko Ota,"Ekelof Tord,Marcos Dracos",ESSnuSB,The ESSnuSB project will try to discover CP violation using the 2nd neutrino oscillation maximum.,https://indico.fnal.gov/event/19348/contributions/186335/attachments/129424/156998/Neutrino2020-ESSvSB-ota.pdf,https://indico.fnal.gov/event/19348/contributions/186335/attachments/129424/156999/Neutrino2020-2min-video-ota.mp4,"https://indico.fnal.gov/event/19348/contributions/186335/attachments/129424/156999/Neutrino2020-2min-video-ota.mp4,https://indico.fnal.gov/event/19348/contributions/186335/attachments/129424/156998/Neutrino2020-ESSvSB-ota.pdf",null,null,null,https://indico.fnal.gov/event/19348/contributions/186335/contribution.pdf,3
8,Neutrino Spacecraft Technical Study and Science Missions,Nick Solomey,Nick Solomey,,"NASA nuSOL, DAEMon &amp; Gandalf spacecraft.",Designing a Neutrino detector to work in space to do science studies.,None,None,,null,null,null,https://indico.fnal.gov/event/19348/contributions/186381/contribution.pdf,4
9,123 Model,João Paulo Pinheiro,"João Paulo Pinheiro,carlos pires",,,We imposed conditions for the new couplings of the model to be concordant with the experiments.,https://indico.fnal.gov/event/19348/contributions/187327/attachments/129464/157060/NEUTRINO20.pdf,NotFound,"https://indico.fnal.gov/event/19348/contributions/187327/attachments/129464/157061/go,https://indico.fnal.gov/event/19348/contributions/187327/attachments/129464/157060/NEUTRINO20.pdf",null,null,null,https://indico.fnal.gov/event/19348/contributions/187327/contribution.pdf,1
11,Early Warning from the Detection of Pre-supernova Neutrinos in Future Large Liquid-scintillator Detectors,Huiling Li,Huiling Li,,JUNO,Early warning capability of pre-supernova neutrinos in future large liquid-scintillator detectors,https://indico.fnal.gov/event/19348/contributions/186677/attachments/129251/156732/nu2020_preSNnu_huiling.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186677/attachments/129251/156732/nu2020_preSNnu_huiling.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186677/contribution.pdf,2
12,Coupling Neutrino Oscillations and Simulations of Core-Collapse Supernovae,James Kneller,James Kneller,"Carla Frohlich,Charles Stapleford",,The first core-collapse supernova simulation with self-consistent neutrino flavor transformation.,https://indico.fnal.gov/event/19348/contributions/186442/attachments/129481/157082/Kneller.Neutrino2020.pdf,https://indico.fnal.gov/event/19348/contributions/186442/attachments/129481/157774/Kneller.Neutrino2020.mp4,"https://indico.fnal.gov/event/19348/contributions/186442/attachments/129481/157774/Kneller.Neutrino2020.mp4,https://indico.fnal.gov/event/19348/contributions/186442/attachments/129481/157082/Kneller.Neutrino2020.pdf",null,null,null,https://indico.fnal.gov/event/19348/contributions/186442/contribution.pdf,3
13,A Machine Learning Approach to Study the Neutrino Charged-current Interaction on $^{127}$I,Peibo An,Peibo An,,"NaI [Tl], the COHERENT collaboration",A CNN model preserves 77% of nueCC on 127-I signals and removes 78% of the cosmic backgrounds.,https://indico.fnal.gov/event/19348/contributions/186697/attachments/129529/157156/Neutrino2020_PosterP.Anv2.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186697/attachments/129529/157156/Neutrino2020_PosterP.Anv2.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186697/contribution.pdf,4
14,First Demonstration of Ionization Cooling by the Muon Ionization Cooling Experiment,Chris Rogers,Chris Rogers,,MICE,MICE built a section of an ionization cooling cell and provided the first demonstration of cooling.,https://indico.fnal.gov/event/19348/contributions/186724/attachments/129795/157624/2020-06-05_neutrino-poster.pdf,https://indico.fnal.gov/event/19348/contributions/186724/attachments/129795/157649/2020-06-03_neutrino-poster.mp4,"https://indico.fnal.gov/event/19348/contributions/186724/attachments/129795/157649/2020-06-03_neutrino-poster.mp4,https://indico.fnal.gov/event/19348/contributions/186724/attachments/129795/157624/2020-06-05_neutrino-poster.pdf",null,null,null,https://indico.fnal.gov/event/19348/contributions/186724/contribution.pdf,1
15,Transverse Emittance Change in MICE 'Solenoid Mode' with Muon Ionization Cooling,Tom Lord,Tom Lord,,MICE,"We present performance of MICE in 'solenoid' mode, with no change of polarity across the absorber.",https://indico.fnal.gov/event/19348/contributions/186726/attachments/129910/157846/Neutrino2020_MICE_solenoid_mode.pdf,NotFound,https://indico.fnal.gov/event/19348/contributions/186726/attachments/129910/157846/Neutrino2020_MICE_solenoid_mode.pdf,null,null,null,https://indico.fnal.gov/event/19348/contributions/186726/contribution.pdf,2
